System,Layer,K,Tok/s,Dedup tok/s,Bit/s,Dedup bit/s
hubert-base-ls960,-8,50,49.89592904423485,26.23838186852682,281.6054479808653,148.085653918358
hubert-base-ls960,-8,100,49.89592904423485,28.083531786957693,331.5013770251001,186.5829464935141
hubert-base-ls960,-8,200,49.89592904423485,31.271915843162258,381.397306069335,239.03802748387008
hubert-base-ls960,-8,500,49.89592904423485,33.81149718414621,447.35613649341536,303.1465900945145
hubert-base-ls960,-8,1000,49.89592904423485,35.16660728684206,497.25206553765025,350.46282224409384
hubert-base-ls960,-4,50,49.89592904423485,25.198297361660636,281.6054479808653,142.2155665363925
hubert-base-ls960,-4,100,49.89592904423485,27.144080456537097,331.5013770251001,180.3413669569071
hubert-base-ls960,-4,200,49.89592904423485,27.455980798439874,381.397306069335,209.86956877249062
hubert-base-ls960,-4,500,49.89592904423485,28.82609211998475,447.35613649341536,258.4485237175809
hubert-base-ls960,-4,1000,49.89592904423485,29.737416165063415,497.25206553765025,296.35667468424526
hubert-base-ls960,-1,50,49.89592904423485,24.675129854300664,281.6054479808653,139.26288436168988
hubert-base-ls960,-1,100,49.89592904423485,26.6690418596511,331.5013770251001,177.1852788346042
hubert-base-ls960,-1,200,49.89592904423485,28.322301186971444,381.397306069335,216.4915972366957
hubert-base-ls960,-1,500,49.89592904423485,31.83133629607406,447.35613649341536,285.3928947231347
hubert-base-ls960,-1,1000,49.89592904423485,34.50342840355779,497.25206553765025,343.8537245511397
